date	Fire	Aspect	Species	Direction	frameID	height_header_note	height_header_A	height_header_B	height_header_C	height_header_D	height_header_E	height_10_note	height_10_A	height_10_B	height_10_C	height_10_D	height_10_E	height_9_note	height_9_A	height_9_B	height_9_C	height_9_D	height_9_E	height_8_note	height_8_A	height_8_B	height_8_C	height_8_D	height_8_E	height_7_note	height_7_A	height_7_B	height_7_C	height_7_D	height_7_E	height_6_note	height_6_A	height_6_B	height_6_C	height_6_D	height_6_E	height_5_note	height_5_A	height_5_B	height_5_C	height_5_D	height_5_E	height_4_note	height_4_A	height_4_B	height_4_C	height_4_D	height_4_E	height_3_note	height_3_A	height_3_B	height_3_C	height_3_D	height_3_E	height_2_note	height_2_A	height_2_B	height_2_C	height_2_D	height_2_E	height_1_note	height_1_A	height_1_B	height_1_C	height_1_D	height_1_E	basal_header_note	basal_header_A	basal_header_B	basal_header_C	basal_header_D	basal_header_E	basal_10_note	basal_10_A	basal_10_B	basal_10_C	basal_10_D	basal_10_E	basal_9_note	basal_9_A	basal_9_B	basal_9_C	basal_9_D	basal_9_E	basal_8_note	basal_8_A	basal_8_B	basal_8_C	basal_8_D	basal_8_E	basal_7_note	basal_7_A	basal_7_B	basal_7_C	basal_7_D	basal_7_E	basal_6_note	basal_6_A	basal_6_B	basal_6_C	basal_6_D	basal_6_E	basal_5_note	basal_5_A	basal_5_B	basal_5_C	basal_5_D	basal_5_E	basal_4_note	basal_4_A	basal_4_B	basal_4_C	basal_4_D	basal_4_E	basal_3_note	basal_3_A	basal_3_B	basal_3_C	basal_3_D	basal_3_E	basal_2_note	basal_2_A	basal_2_B	basal_2_C	basal_2_D	basal_2_E	basal_1_note	basal_1_A	basal_1_B	basal_1_C	basal_1_D	basal_1_E	Notes	_id	_uuid	_submission_time	_index
7/21/18	maple	flat	pico	se	110																												22		19						37						28					20	23																																														83		74						105						103					76	87																				12922377	ac936822-df05-44e9-b90b-ad0d284f18d1	2018-07-27T23:47:22	528
8/6/18	maple	flat	pico	se	110																												34		26						47						31					27	38																																														121		102						168						135					95	103																				13429840	5e4e30cd-b639-45bc-bee6-399fec9bcbd0	2018-08-12T22:21:42	717
10/20/18	maple	flat	pico	se	110																												35		-999						48						45					33	48																																														143								285						228					146	240																							
6/25/18	maple	flat	pmse	center	7																																															21									16						8																																																			96									102						82						11828262	efa7a0f5-8bec-4dc3-9479-1c7ea19c59cb	2018-06-29T15:23:29	182
7/9/18	maple	flat	pmse	center	7																		15															20																																																			103															115																																			12401118	309ff73e-c196-4a7c-944f-1b73ad07278d	2018-07-13T03:21:32	350
7/21/18	maple	flat	pmse	center	7																		19															19																																																			110															95																																			12922375	39f0258d-a3ed-4661-810d-a63c83150a5a	2018-07-27T23:47:19	530
8/6/18	maple	flat	pmse	center	7																		21															19																																																			99															89																																			13429837	ff7a2e62-c9fc-413d-bee6-01c732015052	2018-08-12T22:21:35	714
10/20/18	maple	flat	pmse	center	7																		21															-999																																																			138																																																					
10/20/18	maple	flat	pmse	sw	30																																																																																																																																									
6/25/18	maple	flat	pmse	nw	78																																																		-999																																																																																				11828256	3834da98-a2a3-449d-8312-9cd80730d024	2018-06-29T15:23:27	179
7/9/18	maple	flat	pmse	nw	78																																																																																																																																					Nothing	12401131	2d8f305d-9ab6-4f34-a13b-43033791bc79	2018-07-13T03:21:54	362
7/21/18	maple	flat	pmse	nw	78																																																																																																																																					Nothing	12922384	df1a4a7c-2f05-470a-8fa6-4c51d61d5e6a	2018-07-27T23:47:33	521
8/6/18	maple	flat	pmse	nw	78																																																																																																																																					Nothing	13429850	948c7b77-8748-4dc2-b39d-047ae6a88a88	2018-08-12T22:22:06	724
6/25/18	maple	flat	pmse	se	87																														-999					22																					23			-999			19																																							91																					103						68						11828245	3932bff5-ca08-4ab0-b72f-a3c1c0b76939	2018-06-29T15:23:24	173
7/9/18	maple	flat	pmse	se	87																						-999													24																					24			-999			16																																							66																					91						75						12401125	af11aa6e-7643-4bb2-9c2c-d7c74f9ccbe4	2018-07-13T03:21:42	356
7/21/18	maple	flat	pmse	se	87																														-999					21																					24						13																																							96																					104						78						12922376	ab01b863-a6f7-4a62-bd52-24fa21760b94	2018-07-27T23:47:20	529
8/6/18	maple	flat	pmse	se	87																																			23																					25						14																																							76																					98						85						13429839	48c1773c-a961-429e-a2ac-ab82a5d87eba	2018-08-12T22:21:39	716
10/20/18	maple	flat	pmse	se	87																																			27																					30						-999																																							143																					110															
10/20/18	maple	flat	pmse	nw	143																																																																																																																																									
6/25/18	maple	flat	pmse	ne	227																																																-999																	17																																																																		87			11828241	34f7728b-b2b8-4e4d-8228-9a0c4cde254e	2018-06-29T15:23:22	170
7/9/18	maple	flat	pmse	ne	227																																																																																																																																					Nothing	12401121	2058b15e-dfe3-415f-8b42-4b786f128b47	2018-07-13T03:21:36	353
