(Intercept),Clay,mois_q50_germ,N,organic,temp_q50_germ,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-2.155278267041471,0.29028154720657867,NA,NA,-0.6787503272483252,0.5946911378124796,-0.17776418818016693,0.9999968313827705,0.9999968313829194,5,-67.49371374319749,174.98742748639498,77.72316064564129,5.73082691235228e-18
-2.08388017585535,0.8478232034867039,NA,NA,-1.288196525382858,NA,NA,0.9993839149780942,0.999383914978243,3,-88.57407249942342,189.14814499884685,91.88387815809315,4.82232586302813e-21
-2.001221167674076,0.9402881858457394,0.23553122951864167,NA,-1.1318584154980995,NA,NA,0.9997563823108857,0.9997563823110346,4,-84.86293318753273,191.0591997083988,93.79493286764512,1.8547112083256e-21
-2.119507267993661,0.47931724581039004,0.3465569340984548,-0.7018366659103386,NA,NA,NA,0.9997473936238883,0.9997473936240372,4,-85.00786239920335,191.34905813174004,94.08479129098635,1.60448011693109e-21
-1.8606168144639692,NA,0.49708467245706756,NA,-0.5206311810619,NA,0.7388479186508518,0.9997324447034645,0.9997324447036133,4,-85.23783763706558,191.8090086074645,94.54474176671081,1.2748449349453e-21
-2.167672576168187,0.7198177183960449,NA,-0.31923749023416637,-0.9258928414718702,NA,NA,0.9997176141152079,0.9997176141153568,4,-85.45363067844515,192.24059469022365,94.97632784946995,1.02740017582183e-21
-1.9916801472771093,NA,0.45368152954481816,-0.4374034170188584,NA,NA,0.4580321195057257,0.9995598458686314,0.9995598458687802,4,-87.22903244963635,195.79139823260604,98.52713139185235,1.74057380523475e-22
-2.1619400875128285,NA,NA,-0.5878101365892185,NA,NA,NA,0.9962846023851746,0.9962846023853229,2,-95.76149651703813,197.92299303407626,100.65872619332256,5.99546004856871e-23
-2.0801518200053137,0.7888891784812267,NA,NA,-1.273650217901235,NA,0.06113342078387389,0.9994042775584409,0.9994042775585896,4,-88.43963201913112,198.2125973715956,100.9483305308419,5.18723269464443e-23
-2.153277724680606,0.2030811775448436,NA,-0.676787757813968,NA,NA,NA,0.9980142411656665,0.998014241165815,3,-93.2555582105618,198.5111164211236,101.24684958036991,4.46799977443286e-23
-2.147047075350815,NA,0.13866131346018065,-0.5434311766641466,NA,NA,NA,0.9978211035137071,0.9978211035138557,3,-93.62682790778072,199.25365581556144,101.98938897480775,3.08228477949296e-23
-2.104569646529996,0.8165570730215094,0.2815416151733963,-0.3966203507027459,-0.6876932590349543,NA,NA,0.9999210875833199,0.9999210875834688,5,-80.35388694445383,200.70777388890767,103.44350704815398,1.48975562558213e-23
-2.264301458884281,0.6352685419402674,NA,-0.8913497418131319,NA,NA,-0.4160195345583366,0.9991825026702941,0.9991825026704428,4,-89.70552313849437,200.74437961032208,103.4801127695684,1.46273685057505e-23
-1.9220375013519588,0.5758197331211923,0.40381348339576245,NA,-0.9147713575122026,NA,0.42029450747454833,0.9999006488783518,0.9999006488785007,5,-81.27517362828763,202.55034725657526,105.28608041582157,5.92932575570824e-24
-2.1606491859198385,NA,NA,-0.5364509768323934,-0.07349807848083298,NA,NA,0.9964134650765304,0.9964134650766787,3,-95.6202998450825,203.240599690165,105.9763328494113,4.19873919768361e-24
-2.1502361381963997,NA,NA,-0.5861314900616489,NA,NA,0.040445863334970016,0.9964089947974809,0.9964089947976292,3,-95.62528236505344,203.25056473010687,105.98629788935318,4.17787092723762e-24
-1.6831744866926268,NA,0.6355505890338382,NA,NA,NA,0.6483965168068734,0.9950984480337539,0.995098448033902,3,-96.86976124011439,205.73952248022877,108.47525563947508,1.2036070150702e-24
-1.9938642143021115,NA,NA,NA,-0.6840363849581675,NA,0.3369149882660212,0.9947606144064528,0.9947606144066009,3,-97.13637066229107,206.27274132458214,109.00847448382845,9.21929494969968e-25
-2.1499941156582025,NA,0.16613880300672662,-0.6134474490735907,0.10568158410053134,NA,NA,0.9979331644861444,0.997933164486293,4,-93.41562851021087,208.16459035375507,110.90032351300138,3.58004027516091e-25
-2.2286485241198872,0.9121850641982823,NA,-0.4948219784506328,-0.7967773177316471,NA,-0.25430429055209147,0.9997903830380509,0.9997903830381998,5,-84.26166009109821,208.52332018219641,111.25905334144272,2.99220069830658e-25
